n,DATE,TIME_UTC,DAY,TIDE,WATER_LEVEL,
26,01/11/2013,04:10:00,1,HT,4.066787643,
67,01/11/2013,11:00:00,1,LT,-4.098897801,
103,01/11/2013,17:00:00,1,HT,4.689226362,
141,01/11/2013,23:20:00,1,LT,-4.370604249,
177,02/11/2013,05:20:00,2,HT,4.992435159,
216,02/11/2013,11:50:00,2,LT,-4.580769777,
250,02/11/2013,17:30:00,2,HT,5.496395308,
290,03/11/2013,00:10:00,3,LT,-4.914414102,
325,03/11/2013,06:00:00,3,HT,5.674389689,
364,03/11/2013,12:30:00,3,LT,-5.266932405,
399,03/11/2013,18:20:00,3,HT,5.820041301,
438,04/11/2013,00:50:00,4,LT,-5.268538256,
472,04/11/2013,06:30:00,4,HT,6.328048967,
512,04/11/2013,13:10:00,4,LT,-5.536279716,
547,04/11/2013,19:00:00,4,HT,6.067518742,
586,05/11/2013,01:30:00,5,LT,-5.693318285,
620,05/11/2013,07:10:00,5,HT,6.453535459,
661,05/11/2013,14:00:00,5,LT,-5.514807475,
694,05/11/2013,19:30:00,5,HT,6.178024911,
734,06/11/2013,02:10:00,6,LT,-5.476779827,
768,06/11/2013,07:50:00,6,HT,6.292661429,
808,06/11/2013,14:30:00,6,LT,-5.511573117,
842,06/11/2013,20:10:00,6,HT,5.968815405,
882,07/11/2013,02:50:00,7,LT,-5.350864876,
916,07/11/2013,08:30:00,7,HT,5.908885467,
956,07/11/2013,15:10:00,7,LT,-5.26552094,
988,07/11/2013,20:30:00,7,HT,5.40022589,
1030,08/11/2013,03:30:00,8,LT,-4.825723355,
1064,08/11/2013,09:10:00,8,HT,5.378504852,
1104,08/11/2013,15:50:00,8,LT,-4.573652472,
1136,08/11/2013,21:10:00,8,HT,4.698335632,
1178,09/11/2013,04:10:00,9,LT,-4.288472415,
1210,09/11/2013,09:30:00,9,HT,4.55445419,
1253,09/11/2013,16:40:00,9,LT,-3.985631009,
1286,09/11/2013,22:10:00,9,HT,4.092487,
1327,10/11/2013,05:00:00,10,LT,-3.66114932,
1360,10/11/2013,10:30:00,10,HT,3.692048654,
